,photon1_pT,photon2_pT,photon1_phi,photon2_phi,photon1_eta,photon2_eta,dEta,n_jets,average_jet_pT,lead_jets_dPhi,n_leptons,photon1_isolation,photon2_isolation,missing_energy
0,174.9828055920439,261.9052587873837,6.238947541628111,2.1126275336311022,-1.6889957210771844,0.8257772054933259,2.5147729265705103,3.0,431.9539856018223,2.3782560307777967,1.0,0.6307912832379419,0.7925196590307868,0.031430140209454116
1,254.7778499670329,291.70140415099155,5.71345557011872,1.2634789308828602,0.35131460701115347,2.290445699876921,1.9391310928657675,2.0,151.25218235922264,0.0768408629409003,2.0,0.7615277277557562,0.7990166324330978,0.0531482574140929
2,207.11481466171676,329.4885731820373,2.680456742298601,3.281177991677842,2.1339651661386982,-0.11967881473800368,2.253643980876702,2.0,176.2937075533494,1.1593132251948086,2.0,0.764698468499974,0.6813791265830478,0.052598614469301364
3,208.29316235720714,257.35430493143446,0.3514698003768071,5.002564945720373,-3.0106764855228327,-0.6728585353755188,2.337817950147314,2.0,306.96163183824797,1.1165899048644392,1.0,0.7953981786884636,0.7104437444382548,0.1814617564713794
4,271.7912977665295,238.6399747478598,3.1499005699351303,2.4091695040580063,-2.616824690870473,-0.2207575236383974,2.3960671672320757,1.0,174.74494536465335,3.441309123742416,2.0,0.8347379139959781,0.9483582567563946,0.11568576668079533
5,207.28072687623987,450.67496861969585,1.1939132729832926,2.24785682373331,0.6796118196142511,-1.2212430644084171,1.9008548840226682,5.0,113.22007227943271,1.830428839256364,6.0,0.7203842151630688,0.6600522789263241,0.23193059737594002
6,260.04395812601905,241.30674177004295,4.411352949891059,0.6034548278388169,-0.5288247341282757,1.5054419355305546,2.0342666696588303,8.0,152.6819086032926,1.1605778108720404,1.0,0.6363566000541931,0.7823591787495463,0.06826644603158405
7,240.1388037724521,288.2589077968397,2.4399675576336053,6.184388542095206,-1.2025798320009864,0.8149131391115869,2.0174929711125733,4.0,437.9426454670762,0.3035841767980736,2.0,0.7516108471769298,0.7260469698533658,0.04129225581891438
8,183.87848139676973,283.14359472458153,2.0419978530495007,1.4056575242237155,-2.5309583728648457,0.02986807799730329,2.560826450862149,2.0,106.75957727012903,-0.49430726758169663,4.0,0.8427630493494567,0.7401774754511523,0.10326362936504685
9,332.27593203625395,270.3775866549958,5.409924930769888,2.3492055692344915,0.16522365571842923,1.7068366175204108,1.5416129618019816,3.0,132.91020125270538,1.3321783569019716,2.0,0.7436453673511583,0.9339448530023304,0.17725496847309508
